ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDF0902065,0.00,DF090206,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,30/10/2009,31/10/2011,N/A,N/A
MYBDF0902313,0.00,DF090231,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,30/10/2009,29/04/2011,N/A,N/A
MYBDF0902321,0.00,DF090232,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,30/10/2009,31/10/2011,N/A,N/A
MYBDF1500058,0.00,DF150005,ISLAM 0% 24.10.2016 SN,ISLAM,IBONDS,22/04/2015,24/10/2016,N/A,N/A
MYBDF1500066,0.00,DF150006,ISLAM 0% 24.04.2017 SN,ISLAM,IBONDS,22/04/2015,25/04/2017,N/A,N/A
MYBDF1600023,20000000.00,DF160002,THHE FAB 7.420% 03.08.2018,THHE FAB,IBONDS,05/08/2016,03/08/2018,N/A,N/A
MYBDG0213545,0.00,DG021354,GDC PUTRA 0.00000% 02.12.2005 SN,GDC PUTRA,IBONDS,04/12/2002,02/12/2005,N/A,N/A
MYBDG0304534,20000000.00,DG030453,ABI 5.50000% 30.05.2006,ABI,IBONDS,30/05/2003,30/05/2006,D_*I_*D,N/A
MYBDG0304609,0.00,DG030460,ABI 0.00000% 30.11.2005 SN,ABI,IBONDS,30/05/2003,30/11/2005,N/A,N/A
MYBDG0304617,0.00,DG030461,ABI 0.00000% 30.05.2006 SN,ABI,IBONDS,30/05/2003,30/05/2006,N/A,N/A
MYBDG0304666,0.00,DG030466,ABI 0.00000% 30.11.2005 SN,ABI,IBONDS,30/05/2003,30/11/2005,N/A,N/A
MYBDG0304674,0.00,DG030467,ABI 0.00000% 30.05.2006 SN,ABI,IBONDS,30/05/2003,30/05/2006,N/A,N/A
MYBDG0304740,0.00,DG030474,ABI 0.00000% 30.11.2005 SN,ABI,IBONDS,30/05/2003,30/11/2005,N/A,N/A
MYBDG0304757,0.00,DG030475,ABI 0.00000% 30.05.2006 SN,ABI,IBONDS,30/05/2003,30/05/2006,N/A,N/A
MYBDG0404508,60000000.00,DG040450,PESAKA 0.00000% 29.09.2006,PESAKA,IBONDS,01/04/2004,29/09/2006,D_*I_*D,N/A
MYBDG0404623,0.00,DG040462,PESAKA 0.00000% 29.09.2006 SN,PESAKA,IBONDS,01/04/2004,29/09/2006,N/A,N/A
MYBDG04730H0,0.00,DG04730H,PSSB SHIP 0.00000% 15.06.2007 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2007,N/A,N/A
MYBDG04744F5,0.00,DG04744F,PSSB SHIP 0.00000% 15.06.2007 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2007,N/A,N/A
MYBDG0500073,0.00,DG050007,TRACOMA 0.00000% 27.07.2007 SN,TRACOMA,IBONDS,28/01/2005,27/07/2007,N/A,N/A
MYBDG0500081,0.00,DG050008,TRACOMA 0.00000% 28.01.2008 SN,TRACOMA,IBONDS,28/01/2005,28/01/2008,N/A,N/A
MYBDG0500156,0.00,DG050015,TRACOMA 0.00000% 27.07.2007 SN,TRACOMA,IBONDS,28/01/2005,27/07/2007,N/A,N/A
MYBDG0500164,0.00,DG050016,TRACOMA 0.00000% 28.01.2008 SN,TRACOMA,IBONDS,28/01/2005,28/01/2008,N/A,N/A
MYBDG0516582,0.00,DG051658,MTSB 0% 28.04.2008 SN,MTSB,IBONDS,28/10/2005,28/04/2008,N/A,N/A
MYBDG0516723,0.00,DG051672,MTSB 0% 28.04.2008 SN,MTSB,IBONDS,28/10/2005,28/04/2008,N/A,N/A
MYBDG0516848,0.00,DG051684,MTSB 0% 28.04.2008 SN,MTSB,IBONDS,28/10/2005,28/04/2008,N/A,N/A
MYBDG0516947,0.00,DG051694,MTSB 0% 28.04.2008 SN,MTSB,IBONDS,28/10/2005,28/04/2008,N/A,N/A
MYBDG0517028,0.00,DG051702,MTSB 0% 28.04.2008 SN,MTSB,IBONDS,28/10/2005,28/04/2008,N/A,N/A
MYBDG0519404,0.00,DG051940,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0519412,0.00,DG051941,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0522135,0.00,DG052213,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0522143,0.00,DG052214,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0522481,0.00,DG052248,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0522499,0.00,DG052249,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0522820,0.00,DG052282,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0522838,0.00,DG052283,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0523158,0.00,DG052315,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0523166,0.00,DG052316,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0523471,0.00,DG052347,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0523489,0.00,DG052348,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0523786,0.00,DG052378,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0523794,0.00,DG052379,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0524156,0.00,DG052415,SDEB 0% 10.12.2007 SN,SDEB,IBONDS,09/12/2005,10/12/2007,N/A,N/A
MYBDG0524164,0.00,DG052416,SDEB 0% 09.06.2008 SN,SDEB,IBONDS,09/12/2005,09/06/2008,N/A,N/A
MYBDG0528728,0.00,DG052872,SPRINT 0% 27.06.2008 SN,SPRINT,IBONDS,29/12/2005,27/06/2008,N/A,N/A
MYBDG0528736,0.00,DG052873,SPRINT 0% 29.12.2008 SN,SPRINT,IBONDS,29/12/2005,29/12/2008,N/A,N/A
MYBDG0605807,0.00,DG060580,ZECON TOLL 0% 14.01.2009 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2009,N/A,N/A
MYBDG0605815,0.00,DG060581,ZECON TOLL 0% 14.07.2009 SN,ZECON TOLL,IBONDS,14/07/2006,14/07/2009,N/A,N/A
MYBDG0800051,0.00,DG080005,MANFAAT 0% 26.07.2010 SN,MANFAAT,IBONDS,25/01/2008,26/07/2010,N/A,N/A
MYBDG0800069,0.00,DG080006,MANFAAT 0% 25.01.2011 SN,MANFAAT,IBONDS,25/01/2008,25/01/2011,N/A,N/A
MYBDG0800580,0.00,DG080058,PIYS 0% 30.07.2010 SN,PIYS,IBONDS,31/01/2008,30/07/2010,N/A,N/A
MYBDG0800598,0.00,DG080059,PIYS 0% 31.01.2011 SN,PIYS,IBONDS,31/01/2008,31/01/2011,N/A,N/A
MYBDG0800861,0.00,DG080086,PIYS 0% 30.07.2010 SN,PIYS,IBONDS,31/01/2008,30/07/2010,N/A,N/A
MYBDG0800879,0.00,DG080087,PIYS 0% 31.01.2011 SN,PIYS,IBONDS,31/01/2008,31/01/2011,N/A,N/A
MYBDG0804434,0.00,DG080443,PRASARANA 0% 30.11.2010 SN,PRASARANA,IBONDS,30/05/2008,30/11/2010,N/A,N/A
MYBDG0804442,0.00,DG080444,PRASARANA 0% 30.05.2011 SN,PRASARANA,IBONDS,30/05/2008,30/05/2011,N/A,N/A
MYBDG0810951,0.00,DG081095,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
MYBDG0810969,0.00,DG081096,PLSA 0% 31.10.2011 SN,PLSA,IBONDS,31/10/2008,31/10/2011,N/A,N/A
MYBDG0811330,0.00,DG081133,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,31/10/2008,29/04/2011,N/A,N/A
