ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDH0800083,0.00,DH080008,MANFAAT 0% 25.01.2012 SN,MANFAAT,IBONDS,25/01/2008,25/01/2012,N/A,N/A
MYBDH0800604,0.00,DH080060,PIYS 0% 29.07.2011 SN,PIYS,IBONDS,31/01/2008,29/07/2011,N/A,N/A
MYBDH0800612,0.00,DH080061,PIYS 0% 31.01.2012 SN,PIYS,IBONDS,31/01/2008,31/01/2012,N/A,N/A
MYBDH0800885,0.00,DH080088,PIYS 0% 29.07.2011 SN,PIYS,IBONDS,31/01/2008,29/07/2011,N/A,N/A
MYBDH0800893,0.00,DH080089,PIYS 0% 31.01.2012 SN,PIYS,IBONDS,31/01/2008,31/01/2012,N/A,N/A
MYBDH0804457,0.00,DH080445,PRASARANA 0% 30.11.2011 SN,PRASARANA,IBONDS,30/05/2008,30/11/2011,N/A,N/A
MYBDH0804465,0.00,DH080446,PRASARANA 0% 30.05.2012 SN,PRASARANA,IBONDS,30/05/2008,30/05/2012,N/A,N/A
MYBDH0810975,0.00,DH081097,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0810983,0.00,DH081098,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0811353,0.00,DH081135,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0811361,0.00,DH081136,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0811726,0.00,DH081172,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0811734,0.00,DH081173,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0812088,0.00,DH081208,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0812096,0.00,DH081209,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0812435,0.00,DH081243,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0812443,0.00,DH081244,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0812773,0.00,DH081277,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0812781,0.00,DH081278,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0813102,0.00,DH081310,PLSA 0% 30.04.2012 SN,PLSA,IBONDS,31/10/2008,30/04/2012,N/A,N/A
MYBDH0813110,0.00,DH081311,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,31/10/2008,31/10/2012,N/A,N/A
MYBDH0900016,50000000.00,DH090001,OWC 6.60% 20.02.2013 (Tranche 1),OWC,IBONDS,20/02/2009,20/02/2013,AA-_*I_*S,N/A
MYBDH0900115,1650000.00,DH090011,OWC 0% 20.08.2012 SN,OWC,IBONDS,20/02/2009,20/08/2012,AA-_*I_*S,N/A
MYBDH0900123,1650000.00,DH090012,OWC 0% 20.02.2013 SN,OWC,IBONDS,20/02/2009,20/02/2013,AA-_*I_*S,N/A
MYBDH0900198,1700000.00,DH090019,OWC 0% 20.08.2012 SN,OWC,IBONDS,20/02/2009,20/08/2012,AA-_*I_*S,N/A
MYBDH0900206,1700000.00,DH090020,OWC 0% 20.02.2013 SN,OWC,IBONDS,20/02/2009,20/02/2013,AA-_*I_*S,N/A
MYBDH0900297,1750000.00,DH090029,OWC 0% 20.08.2012 SN,OWC,IBONDS,20/02/2009,20/08/2012,AA-_*I_*S,N/A
MYBDH0900305,1750000.00,DH090030,OWC 0% 20.02.2013 SN,OWC,IBONDS,20/02/2009,20/02/2013,AA-_*I_*S,N/A
MYBDH0900412,1800000.00,DH090041,OWC 0% 20.08.2012 SN,OWC,IBONDS,20/02/2009,20/08/2012,AA-_*I_*S,N/A
MYBDH0900420,1800000.00,DH090042,OWC 0% 20.02.2013 SN,OWC,IBONDS,20/02/2009,20/02/2013,AA-_*I_*S,N/A
MYBDH0900651,0.00,DH090065,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,30/04/2009,31/10/2012,N/A,N/A
MYBDH0900669,0.00,DH090066,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,30/04/2009,30/04/2013,N/A,N/A
MYBDH0900958,0.00,DH090095,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,30/04/2009,31/10/2012,N/A,N/A
MYBDH0900966,0.00,DH090096,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,30/04/2009,30/04/2013,N/A,N/A
MYBDH0901246,0.00,DH090124,PLSA 0% 31.10.2012 SN,PLSA,IBONDS,30/04/2009,31/10/2012,N/A,N/A
MYBDH0901253,0.00,DH090125,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,30/04/2009,30/04/2013,N/A,N/A
MYBDH0901485,0.00,DH090148,TALAM CORP 2% 28.12.2012 SN,TALAM CORP,IBONDS,29/06/2009,28/12/2012,N/A,N/A
MYBDH0901493,0.00,DH090149,TALAM CORP 2% 28.06.2013 SN,TALAM CORP,IBONDS,29/06/2009,28/06/2013,N/A,N/A
MYBDH0902095,0.00,DH090209,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,30/10/2009,30/04/2013,N/A,N/A
MYBDH0902103,0.00,DH090210,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,30/10/2009,31/10/2013,N/A,N/A
MYBDH0902350,0.00,DH090235,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,30/10/2009,30/04/2013,N/A,N/A
MYBDH0902368,0.00,DH090236,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,30/10/2009,31/10/2013,N/A,N/A
MYBDH1500096,0.00,DH150009,ISLAM 0% 22.10.2018 SN,ISLAM,IBONDS,22/04/2015,22/10/2018,N/A,N/A
MYBDH1500104,0.00,DH150010,ISLAM 0% 22.04.2019 SN,ISLAM,IBONDS,22/04/2015,22/04/2019,N/A,N/A
MYBDI0213574,0.00,DI021357,GDC PUTRA 0.00000% 04.06.2007 SN,GDC PUTRA,IBONDS,04/12/2002,04/06/2007,N/A,N/A
MYBDI0213582,0.00,DI021358,GDC PUTRA 0.00000% 04.12.2007 SN,GDC PUTRA,IBONDS,04/12/2002,04/12/2007,N/A,N/A
MYBDI0304555,30000000.00,DI030455,ABI 5.95000% 30.05.2008,ABI,IBONDS,30/05/2003,30/05/2008,D_*I_*D,N/A
MYBDI0304787,0.00,DI030478,ABI 0.00000% 30.11.2007 SN,ABI,IBONDS,30/05/2003,30/11/2007,N/A,N/A
MYBDI0304795,0.00,DI030479,ABI 0.00000% 30.05.2008 SN,ABI,IBONDS,30/05/2003,30/05/2008,N/A,N/A
MYBDI04734Z2,0.00,DI04734Z,PSSB SHIP 0.00000% 15.06.2009 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2009,N/A,N/A
MYBDI04735S4,0.00,DI04735S,PSSB SHIP 0.00000% 15.12.2009 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2009,N/A,N/A
MYBDI04748A5,0.00,DI04748A,PSSB SHIP 0.00000% 15.06.2009 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2009,N/A,N/A
MYBDI04749E5,0.00,DI04749E,PSSB SHIP 0.00000% 15.12.2009 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2009,N/A,N/A
MYBDI0500020,50000000.00,DI050002,TRACOMA BAIDS RM50.0M 28/01/2010,TRACOMA,IBONDS,28/01/2005,28/01/2010,A_*I_*D,N/A
MYBDI0500194,0.00,DI050019,TRACOMA 0.00000% 28.07.2009 SN,TRACOMA,IBONDS,28/01/2005,28/07/2009,N/A,N/A
MYBDI0500202,0.00,DI050020,TRACOMA 0.00000% 28.01.2010 SN,TRACOMA,IBONDS,28/01/2005,28/01/2010,N/A,N/A
MYBDI0516505,32089585.08,DI051650,MTSB 0% 28.10.2009,MTSB,IBONDS,28/10/2005,28/10/2009,N/A,A2
MYBDI0516612,3729491.89,DI051661,MTSB 0% 28.10.2009 SN,MTSB,IBONDS,28/10/2005,28/10/2009,N/A,A2
MYBDI0516620,3697810.20,DI051662,MTSB 0% 28.04.2010 SN,MTSB,IBONDS,28/10/2005,28/04/2010,N/A,A2
MYBDI0516752,3541230.18,DI051675,MTSB 0% 28.10.2009 SN,MTSB,IBONDS,28/10/2005,28/10/2009,N/A,A2
MYBDI0516760,3510988.57,DI051676,MTSB 0% 28.04.2010 SN,MTSB,IBONDS,28/10/2005,28/04/2010,N/A,A2
MYBDI0516877,2870531.00,DI051687,MTSB 0% 28.10.2009 SN,MTSB,IBONDS,28/10/2005,28/10/2009,N/A,A2
MYBDI0516885,2846020.30,DI051688,MTSB 0% 28.04.2010 SN,MTSB,IBONDS,28/10/2005,28/04/2010,N/A,A2
MYBDI0516976,1770917.82,DI051697,MTSB 0% 28.10.2009 SN,MTSB,IBONDS,28/10/2005,28/10/2009,N/A,A2
MYBDI0519442,0.00,DI051944,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0519459,0.00,DI051945,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0519467,0.00,DI051946,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0522172,0.00,DI052217,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0522180,0.00,DI052218,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0522198,0.00,DI052219,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0522529,0.00,DI052252,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0522537,0.00,DI052253,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0522545,0.00,DI052254,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0522867,0.00,DI052286,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0522875,0.00,DI052287,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0522883,0.00,DI052288,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0523196,0.00,DI052319,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0523204,0.00,DI052320,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0523212,0.00,DI052321,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0523519,0.00,DI052351,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0523527,0.00,DI052352,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0523535,0.00,DI052353,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0523824,0.00,DI052382,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0523832,0.00,DI052383,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0523840,0.00,DI052384,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0524194,0.00,DI052419,SDEB 0% 09.12.2009 SN,SDEB,IBONDS,09/12/2005,09/12/2009,N/A,N/A
MYBDI0524202,0.00,DI052420,SDEB 0% 09.06.2010 SN,SDEB,IBONDS,09/12/2005,09/06/2010,N/A,N/A
MYBDI0524210,0.00,DI052421,SDEB 0% 09.12.2010 SN,SDEB,IBONDS,09/12/2005,09/12/2010,N/A,N/A
MYBDI0528765,0.00,DI052876,SPRINT 0% 29.06.2010 SN,SPRINT,IBONDS,29/12/2005,29/06/2010,N/A,N/A
MYBDI0528773,0.00,DI052877,SPRINT 0% 29.12.2010 SN,SPRINT,IBONDS,29/12/2005,29/12/2010,N/A,N/A
MYBDI0605845,0.00,DI060584,ZECON TOLL 0% 14.01.2011 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2011,N/A,N/A
MYBDI0605852,0.00,DI060585,ZECON TOLL 0% 14.07.2011 SN,ZECON TOLL,IBONDS,14/07/2006,14/07/2011,N/A,N/A
MYBDI0700083,95000000.00,DI070008,PRIMA UNO 0% 26.01.2012,PRIMA UNO,ABS,26/01/2007,26/01/2012,BB,N/A
MYBDI0700091,40000000.00,DI070009,PRIMA UNO 8.300% 26.01.2012,PRIMA UNO,ABS,26/01/2007,26/01/2012,AA,N/A
MYBDI0700109,167304551.99,DI070010,PRIMA UNO 6.500% 26.01.2012,PRIMA UNO,ABS,26/01/2007,26/01/2012,AAA,N/A
MYBDI0800099,0.00,DI080009,MANFAAT 0% 25.07.2012 SN,MANFAAT,IBONDS,25/01/2008,25/07/2012,N/A,N/A
MYBDI0800107,0.00,DI080010,MANFAAT 0% 25.01.2013 SN,MANFAAT,IBONDS,25/01/2008,25/01/2013,N/A,N/A
MYBDI0800628,0.00,DI080062,PIYS 0% 31.07.2012 SN,PIYS,IBONDS,31/01/2008,31/07/2012,N/A,N/A
MYBDI0800636,0.00,DI080063,PIYS 0% 31.01.2013 SN,PIYS,IBONDS,31/01/2008,31/01/2013,N/A,N/A
MYBDI0800909,0.00,DI080090,PIYS 0% 31.07.2012 SN,PIYS,IBONDS,31/01/2008,31/07/2012,N/A,N/A
MYBDI0800917,0.00,DI080091,PIYS 0% 31.01.2013 SN,PIYS,IBONDS,31/01/2008,31/01/2013,N/A,N/A
MYBDI0804471,0.00,DI080447,PRASARANA 0% 30.11.2012 SN,PRASARANA,IBONDS,30/05/2008,30/11/2012,N/A,N/A
MYBDI0804489,0.00,DI080448,PRASARANA 0% 30.05.2013 SN,PRASARANA,IBONDS,30/05/2008,30/05/2013,N/A,N/A
MYBDI0810999,0.00,DI081099,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0811005,0.00,DI081100,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0811377,0.00,DI081137,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0811385,0.00,DI081138,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0811740,0.00,DI081174,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0811757,0.00,DI081175,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0812102,0.00,DI081210,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0812110,0.00,DI081211,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0812458,0.00,DI081245,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0812466,0.00,DI081246,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0812797,0.00,DI081279,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0812805,0.00,DI081280,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0813126,0.00,DI081312,PLSA 0% 30.04.2013 SN,PLSA,IBONDS,31/10/2008,30/04/2013,N/A,N/A
MYBDI0813134,0.00,DI081313,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,31/10/2008,31/10/2013,N/A,N/A
MYBDI0900022,50000000.00,DI090002,OWC 6.80% 20.02.2014 (Tranche 2),OWC,IBONDS,20/02/2009,20/02/2014,AA-_*I_*S,N/A
MYBDI0900212,1700000.00,DI090021,OWC 0% 20.08.2013 SN,OWC,IBONDS,20/02/2009,20/08/2013,AA-_*I_*S,N/A
MYBDI0900220,1700000.00,DI090022,OWC 0% 20.02.2014 SN,OWC,IBONDS,20/02/2009,20/02/2014,AA-_*I_*S,N/A
MYBDI0900311,1750000.00,DI090031,OWC 0% 20.08.2013 SN,OWC,IBONDS,20/02/2009,20/08/2013,AA-_*I_*S,N/A
MYBDI0900329,1750000.00,DI090032,OWC 0% 20.02.2014 SN,OWC,IBONDS,20/02/2009,20/02/2014,AA-_*I_*S,N/A
MYBDI0900436,1800000.00,DI090043,OWC 0% 20.08.2013 SN,OWC,IBONDS,20/02/2009,20/08/2013,AA-_*I_*S,N/A
MYBDI0900444,1800000.00,DI090044,OWC 0% 20.02.2014 SN,OWC,IBONDS,20/02/2009,20/02/2014,AA-_*I_*S,N/A
MYBDI0900675,0.00,DI090067,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,30/04/2009,31/10/2013,N/A,N/A
MYBDI0900683,0.00,DI090068,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,30/04/2009,30/04/2014,N/A,N/A
MYBDI0900972,0.00,DI090097,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,30/04/2009,31/10/2013,N/A,N/A
MYBDI0900980,0.00,DI090098,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,30/04/2009,30/04/2014,N/A,N/A
MYBDI0901269,0.00,DI090126,PLSA 0% 31.10.2013 SN,PLSA,IBONDS,30/04/2009,31/10/2013,N/A,N/A
MYBDI0901277,0.00,DI090127,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,30/04/2009,30/04/2014,N/A,N/A
MYBDI0901509,0.00,DI090150,TALAM CORP 2% 27.12.2013 SN,TALAM CORP,IBONDS,29/06/2009,27/12/2013,N/A,N/A
MYBDI0901517,0.00,DI090151,TALAM CORP 2% 27.06.2014 SN,TALAM CORP,IBONDS,29/06/2009,27/06/2014,N/A,N/A
MYBDI0902119,0.00,DI090211,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,30/10/2009,30/04/2014,N/A,N/A
MYBDI0902127,0.00,DI090212,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,30/10/2009,31/10/2014,N/A,N/A
MYBDI0902374,0.00,DI090237,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,30/10/2009,30/04/2014,N/A,N/A
MYBDI0902382,0.00,DI090238,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,30/10/2009,31/10/2014,N/A,N/A
MYBDI1500110,0.00,DI150011,ISLAM 0% 22.10.2019 SN,ISLAM,IBONDS,22/04/2015,22/10/2019,N/A,N/A
MYBDI1500128,0.00,DI150012,ISLAM 0% 22.04.2020 SN,ISLAM,IBONDS,22/04/2015,22/04/2020,N/A,N/A
MYBDI97152S0,125000000.00,DI97152S,HUALON 0.000% 14.10.2002 PN,HUALON,IBONDS,15/10/1997,14/10/2002,N/A,N/A
MYBDI98001W0,15000000.00,DI98001W,HUALON 0.000% 04.01.2003 PN,HUALON,IBONDS,05/01/1998,04/01/2003,N/A,C3
MYBDJ0213598,0.00,DJ021359,GDC PUTRA 0.00000% 04.06.2008 SN,GDC PUTRA,IBONDS,04/12/2002,04/06/2008,N/A,N/A
MYBDJ0213606,0.00,DJ021360,GDC PUTRA 0.00000% 04.12.2008 SN,GDC PUTRA,IBONDS,04/12/2002,04/12/2008,N/A,N/A
MYBDJ04725W6,5000000.00,DJ04725W,PSSB SHIP 0.00000% 15.12.2010,PSSB SHIP,IBONDS,15/12/2004,15/12/2010,AA-_*I_*D,N/A
MYBDJ04736F8,357500.00,DJ04736F,PSSB SHIP 0.00000% 15.06.2010 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2010,AA-_*I_*D,N/A
MYBDJ04737Z4,357500.00,DJ04737Z,PSSB SHIP 0.00000% 15.12.2010 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2010,AA-_*I_*D,N/A
MYBDJ04750S2,172500.00,DJ04750S,PSSB SHIP 0.00000% 15.06.2010 SN,PSSB SHIP,IBONDS,15/12/2004,15/06/2010,AA-_*I_*D,N/A
MYBDJ04751H3,172500.00,DJ04751H,PSSB SHIP 0.00000% 15.12.2010 SN,PSSB SHIP,IBONDS,15/12/2004,15/12/2010,AA-_*I_*D,N/A
MYBDJ0516495,48134377.61,DJ051649,MTSB 0% 28.10.2010,MTSB,IBONDS,28/10/2005,28/10/2010,N/A,A2
MYBDJ0516636,3697810.20,DJ051663,MTSB 0% 28.10.2010 SN,MTSB,IBONDS,28/10/2005,28/10/2010,N/A,A2
MYBDJ0516644,3697810.20,DJ051664,MTSB 0% 28.04.2011 SN,MTSB,IBONDS,28/10/2005,28/04/2011,N/A,A2
MYBDJ0516776,3549510.44,DJ051677,MTSB 0% 28.10.2010 SN,MTSB,IBONDS,28/10/2005,28/10/2010,N/A,A2
MYBDJ0516784,3468709.32,DJ051678,MTSB 0% 28.04.2011 SN,MTSB,IBONDS,28/10/2005,28/04/2011,N/A,A2
MYBDJ0516891,2805863.18,DJ051689,MTSB 0% 28.10.2010 SN,MTSB,IBONDS,28/10/2005,28/10/2010,N/A,A2
MYBDJ0519473,0.00,DJ051947,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0519481,0.00,DJ051948,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0522204,0.00,DJ052220,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0522212,0.00,DJ052221,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0522550,0.00,DJ052255,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0522568,0.00,DJ052256,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0522899,0.00,DJ052289,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0522907,0.00,DJ052290,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0523228,0.00,DJ052322,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0523236,0.00,DJ052323,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0523541,0.00,DJ052354,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0523558,0.00,DJ052355,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0523855,0.00,DJ052385,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0523863,0.00,DJ052386,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0524226,0.00,DJ052422,SDEB 0% 09.06.2011 SN,SDEB,IBONDS,09/12/2005,09/06/2011,N/A,N/A
MYBDJ0524234,0.00,DJ052423,SDEB 0% 09.12.2011 SN,SDEB,IBONDS,09/12/2005,09/12/2011,N/A,N/A
MYBDJ0528789,0.00,DJ052878,SPRINT 0% 29.06.2011 SN,SPRINT,IBONDS,29/12/2005,29/06/2011,N/A,N/A
MYBDJ0528797,0.00,DJ052879,SPRINT 0% 29.12.2011 SN,SPRINT,IBONDS,29/12/2005,29/12/2011,N/A,N/A
MYBDJ0605868,0.00,DJ060586,ZECON TOLL 0% 16.01.2012 SN,ZECON TOLL,IBONDS,14/07/2006,16/01/2012,N/A,N/A
MYBDJ0605876,0.00,DJ060587,ZECON TOLL 0% 16.07.2012 SN,ZECON TOLL,IBONDS,14/07/2006,16/07/2012,N/A,N/A
MYBDJ0800113,0.00,DJ080011,MANFAAT 0% 25.07.2013 SN,MANFAAT,IBONDS,25/01/2008,25/07/2013,N/A,N/A
MYBDJ0800121,0.00,DJ080012,MANFAAT 0% 27.01.2014 SN,MANFAAT,IBONDS,25/01/2008,27/01/2014,N/A,N/A
MYBDJ0800642,0.00,DJ080064,PIYS 0% 31.07.2013 SN,PIYS,IBONDS,31/01/2008,31/07/2013,N/A,N/A
MYBDJ0800659,0.00,DJ080065,PIYS 0% 31.01.2014 SN,PIYS,IBONDS,31/01/2008,31/01/2014,N/A,N/A
MYBDJ0800923,0.00,DJ080092,PIYS 0% 31.07.2013 SN,PIYS,IBONDS,31/01/2008,31/07/2013,N/A,N/A
MYBDJ0800931,0.00,DJ080093,PIYS 0% 31.01.2014 SN,PIYS,IBONDS,31/01/2008,31/01/2014,N/A,N/A
MYBDJ0804495,0.00,DJ080449,PRASARANA 0% 29.11.2013 SN,PRASARANA,IBONDS,30/05/2008,29/11/2013,N/A,N/A
MYBDJ0804503,0.00,DJ080450,PRASARANA 0% 30.05.2014 SN,PRASARANA,IBONDS,30/05/2008,30/05/2014,N/A,N/A
MYBDJ0811011,0.00,DJ081101,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0811029,0.00,DJ081102,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0811391,0.00,DJ081139,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0811409,0.00,DJ081140,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0811763,0.00,DJ081176,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0811771,0.00,DJ081177,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0812126,0.00,DJ081212,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0812134,0.00,DJ081213,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0812472,0.00,DJ081247,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0812480,0.00,DJ081248,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
MYBDJ0812811,0.00,DJ081281,PLSA 0% 30.04.2014 SN,PLSA,IBONDS,31/10/2008,30/04/2014,N/A,N/A
MYBDJ0812829,0.00,DJ081282,PLSA 0% 31.10.2014 SN,PLSA,IBONDS,31/10/2008,31/10/2014,N/A,N/A
